Match,Resultat,date,score_home,score_away,played_1,played_X,played_2,odds_1,odds_X,odds_2,home,away,outcome,odds_outcome
Tjerepove - HC Sotji,3 - 2,2020-02-24,3 , 2,34,26,40,"3,10","3,65","2,15",Tjerepove , HC Sotji,1,"3,10"
Kazan - Ufa,3 - 2,2020-02-24,3 , 2,70,17,13,"1,53","4,45","5,45",Kazan , Ufa,1,"1,53"
T Novgoro - Jokerit,3 - 1,2020-02-24,3 , 1,39,22,39,"2,09","4,30","2,85",T Novgoro , Jokerit,1,"2,09"
Din Minsk - Jaroslavl,3 - 5,2020-02-24,3 , 5,15,15,70,"5,40","4,80","1,50",Din Minsk , Jaroslavl,2,"1,50"
CSKA Mosk - St Peters,1 - 4,2020-02-24,1 , 4,50,25,25,"1,78","4,05","3,95",CSKA Mosk , St Peters,2,"3,95"
Djurgård. - Brynäs,3 - 2,2020-02-25,3 , 2,55,22,23,"1,69","4,40","4,45",Djurgårdens IF,Brynäs IF,1,"1,69"
Frölunda - Leksand,2 - 5,2020-02-25,2 , 5,80,11,9,"1,28","6,55","8,70",Frölunda HC,Leksands IF,2,"8,70"
Oskarsh. - Färjestad,3 - 3,2020-02-25,3 , 3,16,18,66,"4,35","5,15","1,61",IK Oskarshamn,Färjestad BK,X,"5,15"
Malmö - Linköping,3 - 3,2020-02-25,3 , 3,49,26,25,"2,00","4,15","3,27",IF Malmö Redhawks,Linköping HC,X,"4,15"
Skelleft. - HV71,2 - 1,2020-02-25,2 , 1,49,25,26,"2,05","4,25","3,08",Skellefteå AIK,HV 71,1,"2,05"
Växjö Lak - Luleå,1 - 3,2020-02-25,1 , 3,33,24,43,"3,00","4,25","2,10",Växjö Lakers HC,Luleå HF,2,"2,10"
Rögle - Örebro,3 - 0,2020-02-25,3 , 0,57,22,21,"1,75","4,40","4,00",Rögle BK,Örebro HK,1,"1,75"
Västervik - Björklöv.,4 - 2,2020-02-25,4 , 2,15,17,68,"5,90","5,00","1,44",Västerviks IK,IF Björklöven,1,"5,90"
Almtuna - Timrå,1 - 11,2020-02-26,1 , 11,15,16,69,"4,65","4,60","1,59",Almtuna IS,Timrå IK,2,"1,59"
Vita Häst - MODO,6 - 4,2020-02-26,6 , 4,20,17,63,"4,15","5,20","1,59",HC Vita Hästen,MODO Hockey,1,"4,15"
Tingsryd - Karlskron,3 - 0,2020-02-26,3 , 0,51,24,25,"2,06","4,05","3,02",Tingsryds AIF,Karlskrona HK,1,"2,06"
Kristian. - Västerås,2 - 5,2020-02-26,2 , 5,41,20,39,"2,67","4,10","2,25",Kristianstads IK,Västerås IK,2,"2,25"
BIK Karls - Södertäl.,4 - 2,2020-02-26,4 , 2,42,23,35,"2,13","4,40","2,73",BIK Karlskoga,Södertälje SK,1,"2,13"
Colorado - Buffalo,3 - 2,2020-02-26,3 , 2,58,21,21,"1,82","4,45","3,60",Colorado , Buffalo,1,"1,82"
Vegas - Edmonton,3 - 0,2020-02-26,3 , 0,53,23,24,"1,77","4,55","3,75",Vegas , Edmonton,1,"1,77"
Los Angel - Pittsb.,2 - 1,2020-02-26,2 , 1,22,21,57,"3,37","4,30","1,92",Los Angel , Pittsb.,1,"3,37"
Färjestad - Rögle,3 - 2,2020-02-27,3 , 2,46,22,32,"2,21","4,35","2,77",Färjestad BK,Rögle BK,1,"2,21"
Leksand - Växjö Lak,4 - 1,2020-02-27,4 , 1,39,20,41,"2,70","4,20","2,29",Leksands IF,Växjö Lakers HC,1,"2,70"
HV71 - Djurgård.,7 - 1,2020-02-27,7 , 1,49,23,28,"2,16","4,25","2,90",HV 71,Djurgårdens IF,1,"2,16"
Luleå - Oskarsh.,3 - 3,2020-02-27,3 , 3,86,8,6,"1,27","6,55","9,15",Luleå HF,IK Oskarshamn,X,"6,55"
Brynäs - Skelleft.,3 - 5,2020-02-27,3 , 5,35,21,44,"2,37","4,20","2,58",Brynäs IF,Skellefteå AIK,2,"2,58"
Örebro - Malmö,0 - 2,2020-02-27,0 , 2,58,20,22,"1,96","4,15","3,40",Örebro HK,IF Malmö Redhawks,2,"3,40"
Linköping - Frölunda,1 - 1,2020-02-27,1 , 1,35,20,45,"2,83","4,25","2,18",Linköping HC,Frölunda HC,X,"4,25"
Linköping - Frölunda,0 - 1,2020-02-27,0 , 1,31,46,23,,,,Linköping HC,Frölunda HC,2,
AIK - MODO,1 - 4,2020-02-28,1 , 4,21,18,61,"5,90","5,10","1,43",AIK,MODO Hockey,2,"1,43"
Timrå - Mora,3 - 2,2020-02-28,3 , 2,73,15,12,"1,46","5,10","5,45",Timrå IK,Mora IK,1,"1,46"
Västerås - BIK Karls,3 - 3,2020-02-28,3 , 3,42,24,34,"2,21","4,40","2,62",Västerås IK,BIK Karlskoga,X,"4,40"
Björklöv. - Södertäl.,2 - 2,2020-02-28,2 , 2,56,21,23,"1,60","4,65","4,50",IF Björklöven,Södertälje SK,X,"4,65"
Tingsryd - Almtuna,4 - 4,2020-02-28,4 , 4,63,18,19,"1,89","4,20","3,38",Tingsryds AIF,Almtuna IS,X,"4,20"
Karlskron - Västervik,3 - 3,2020-02-28,3 , 3,41,24,35,"2,11","4,05","2,92",Karlskrona HK,Västerviks IK,X,"4,05"
Kristian. - Vita Häst,4 - 3,2020-02-28,4 , 3,37,21,42,"2,38","4,25","2,45",Kristianstads IK,HC Vita Hästen,1,"2,38"
Väsby - Halmstad,2 - 5,2020-02-28,2 , 5,61,19,20,"1,77","4,70","3,40",Väsby , Halmstad,2,"3,40"
Luleå - Frölunda,4 - 1,2020-02-29,4 , 1,51,23,26,"1,91","4,25","3,47",Luleå HF,Frölunda HC,1,"1,91"
Djurgård. - Oskarsh.,5 - 4,2020-02-29,5 , 4,77,14,9,"1,35","5,90","7,40",Djurgårdens IF,IK Oskarshamn,1,"1,35"
Malmö - Färjestad,3 - 1,2020-02-29,3 , 1,34,25,41,"2,34","4,25","2,60",IF Malmö Redhawks,Färjestad BK,1,"2,34"
Rögle - Linköping,2 - 2,2020-02-29,2 , 2,64,19,17,"1,66","4,45","4,55",Rögle BK,Linköping HC,X,"4,45"
Växjö Lak - Örebro,4 - 1,2020-02-29,4 , 1,44,24,32,"2,13","4,10","3,02",Växjö Lakers HC,Örebro HK,1,"2,13"
Skelleft. - Leksand,8 - 2,2020-02-29,8 , 2,68,17,15,"1,43","5,55","5,95",Skellefteå AIK,Leksands IF,1,"1,43"
HV71 - Brynäs,5 - 5,2020-02-29,5 , 5,63,18,19,"1,75","4,40","4,05",HV 71,Brynäs IF,X,"4,40"
NY Island - Boston,0 - 4,2020-02-29,0 , 4,32,26,42,"2,97","3,90","2,17",NY Island , Boston,2,"2,17"
NY Ranger - Philadel.,3 - 5,2020-03-01,3 , 5,39,20,41,"2,67","4,20","2,29",NY Ranger , Philadel.,2,"2,29"
Florida - Calgary,0 - 3,2020-03-01,0 , 3,40,24,36,"2,33","4,30","2,57",Florida , Calgary,2,"2,57"
Columbus - Vancouver,5 - 3,2020-03-01,5 , 3,41,23,36,"2,09","4,15","3,03",Columbus , Vancouver,1,"2,09"
Minnesota - Washingt.,3 - 4,2020-03-01,3 , 4,28,21,51,"2,77","4,30","2,20",Minnesota , Washingt.,2,"2,20"
Augsburge - Iserlohn,4 - 1,2020-03-01,4 , 1,66,18,16,"1,43","5,25","5,25",Augsburge , Iserlohn,1,"1,43"
Kölner - Straubing,4 - 1,2020-03-01,4 , 1,34,21,45,"2,46","4,20","2,30",Kölner , Straubing,1,"2,46"
Krefeld - Th.Sabo,3 - 4,2020-03-01,3 , 4,24,22,54,"2,58","4,40","2,15",Krefeld , Th.Sabo,2,"2,15"
Plzen - Liberec,4 - 2,2020-03-01,4 , 2,52,21,27,"1,95","4,40","2,90",Plzen , Liberec,1,"1,95"
Detroit - Colorado,1 - 2,2020-03-02,1 , 2,18,17,65,"4,50","4,75","1,62",Detroit , Colorado,2,"1,62"
Nashville - Edmonton,3 - 8,2020-03-02,3 , 8,46,24,30,"2,12","4,30","2,88",Nashville , Edmonton,2,"2,88"
HIFK - KalPa,5 - 1,2020-03-02,5 , 1,65,19,16,"1,50","5,60","4,75",HIFK , KalPa,1,"1,50"
HPK - Lukko,1 - 3,2020-03-02,1 , 3,33,25,42,"2,65","3,85","2,38",HPK , Lukko,2,"2,38"
Juku Mikk - Kärpät,3 - 5,2020-03-02,3 , 5,11,15,74,"7,30","5,30","1,36",Juku Mikk , Kärpät,2,"1,36"
Liberec - Trinec,0 - 4,2020-03-02,0 , 4,50,22,28,"1,94","4,45","2,88",Liberec , Trinec,2,"2,88"
Vitkovice - Karlovy V,8 - 2,2020-03-02,8 , 2,51,21,28,"1,38","6,75","4,70",Vitkovice , Karlovy V,1,"1,38"
Zlin - HC Mountf,3 - 2,2020-03-02,3 , 2,38,26,36,"2,11","3,85","2,83",Zlin , HC Mountf,1,"2,11"
Frölunda - Skelleft.,1 - 0,2020-03-03,1 , 0,45,20,35,"2,07","4,45","3,00",Frölunda HC,Skellefteå AIK,1,"2,07"
Färjestad - HV71,1 - 2,2020-03-03,1 , 2,54,21,25,"2,17","4,40","2,85",Färjestad BK,HV 71,2,"2,85"
Malmö - Leksand,2 - 2,2020-03-03,2 , 2,64,17,19,"1,69","4,55","4,25",IF Malmö Redhawks,Leksands IF,X,"4,55"
Linköping - Djurgård.,2 - 2,2020-03-03,2 , 2,39,24,37,"2,52","4,05","2,49",Linköping HC,Djurgårdens IF,X,"4,05"
Brynäs - Växjö Lak,0 - 1,2020-03-03,0 , 1,53,22,25,"2,10","4,25","3,05",Brynäs IF,Växjö Lakers HC,2,"3,05"
Luleå - Rögle,3 - 0,2020-03-03,3 , 0,61,20,19,"1,86","4,30","3,70",Luleå HF,Rögle BK,1,"1,86"
Oskarsh. - Örebro,1 - 1,2020-03-03,1 , 1,28,20,52,"3,60","4,45","1,84",IK Oskarshamn,Örebro HK,X,"4,45"
Visby/Rom - Borlänge,2 - 2,2020-03-03,2 , 2,39,23,38,"2,50","4,40","2,21",Visby/Rom , Borlänge,X,"4,40"
Timrå - Björklöv.,3 - 4,2020-03-04,3 , 4,48,23,29,"1,83","4,70","3,45",Timrå IK,IF Björklöven,2,"3,45"
Karlskron - BIK Karls,1 - 2,2020-03-04,1 , 2,28,21,51,"2,75","4,45","2,12",Karlskrona HK,BIK Karlskoga,2,"2,12"
MODO - Tingsryd,6 - 1,2020-03-04,6 , 1,78,12,10,"1,38","5,20","6,75",MODO Hockey,Tingsryds AIF,1,"1,38"
Södertäl. - AIK,4 - 1,2020-03-04,4 , 1,73,15,12,"1,38","5,45","6,45",Södertälje SK,Skellefteå AIK,1,"1,38"
Almtuna - Kristian.,4 - 0,2020-03-04,4 , 0,42,25,33,"2,10","4,10","2,97",Almtuna IS,Kristianstads IK,1,"2,10"
Västerås - Vita Häst,0 - 1,2020-03-04,0 , 1,50,24,26,"1,76","4,35","3,80",Västerås IK,HC Vita Hästen,2,"3,80"
Mora - Västervik,2 - 3,2020-03-04,2 , 3,59,21,20,"1,81","4,30","3,60",Mora IK,Västerviks IK,2,"3,60"
Leksand - Färjestad,1 - 1,2020-03-05,1 , 1,26,21,53,"3,17","4,35","2,00",Leksands IF,Färjestad BK,X,"4,35"
Djurgård. - Luleå,2 - 2,2020-03-05,2 , 2,41,25,34,"1,95","4,30","3,30",Djurgårdens IF,Luleå HF,X,"4,30"
Växjö Lak - Frölunda,3 - 2,2020-03-05,3 , 2,33,23,44,"2,62","4,15","2,37",Växjö Lakers HC,Frölunda HC,1,"2,62"
HV71 - Oskarsh.,5 - 3,2020-03-05,5 , 3,79,13,8,"1,30","6,60","8,05",HV 71,IK Oskarshamn,1,"1,30"
Rögle - Brynäs,6 - 4,2020-03-05,6 , 4,61,18,21,"1,74","4,45","4,10",Rögle BK,Brynäs IF,1,"1,74"
Örebro - Linköping,3 - 0,2020-03-05,3 , 0,52,23,25,"2,04","4,15","3,20",Örebro HK,Linköping HC,1,"2,04"
Skelleft. - Malmö,3 - 0,2020-03-05,3 , 0,64,19,17,"1,75","4,35","4,10",Skellefteå AIK,IF Malmö Redhawks,1,"1,75"
Skellefteå - Malmö Redhawks,1 - 0,2020-03-05,1 , 0,33,45,22,,,,Skellefteå AIK,IF Malmö Redhawks,1,
BIK Karls - MODO,2 - 4,2020-03-06,2 , 4,29,25,46,"3,10","4,05","2,03",BIK Karlskoga,MODO Hockey,2,"2,03"
Björklöv. - Mora,6 - 4,2020-03-06,6 , 4,62,16,22,"1,46","5,50","5,05",IF Björklöven,Mora IK,1,"1,46"
Kristian. - Timrå,3 - 3,2020-03-06,3 , 3,12,13,75,"5,55","5,20","1,45",Kristianstads IK,Timrå IK,X,"5,20"
Vita Häst - Almtuna,4 - 0,2020-03-06,4 , 0,71,15,14,"1,44","5,05","5,95",HC Vita Hästen,Almtuna IS,1,"1,44"
AIK - Karlskron,4 - 0,2020-03-06,4 , 0,45,22,33,"2,21","4,20","2,70",AIK,Karlskrona HK,1,"2,21"
Västervik - Södertäl.,3 - 0,2020-03-06,3 , 0,35,22,43,"2,85","4,05","2,17",Västerviks IK,Södertälje SK,1,"2,85"
Tingsryd - Västerås,2 - 4,2020-03-06,2 , 4,41,23,36,"2,58","4,15","2,30",Tingsryds AIF,Västerås IK,2,"2,30"
Halmstad - Tranås,3 - 6,2020-03-06,3 , 6,54,23,23,"2,06","4,00","2,95",Halmstad , Tranås,2,"2,95"
Frölunda - HV71,3 - 3,2020-03-07,3 , 3,53,21,26,"1,86","4,45","3,50",Frölunda HC,HV 71,X,"4,45"
Brynäs - Leksand,4 - 4,2020-03-07,4 , 4,48,21,31,"1,82","4,45","3,70",Brynäs IF,Leksands IF,X,"4,45"
Malmö - Växjö Lak,5 - 4,2020-03-07,5 , 4,48,23,29,"2,47","4,10","2,52",IF Malmö Redhawks,Växjö Lakers HC,1,"2,47"
Linköping - Skelleft.,4 - 3,2020-03-07,4 , 3,19,19,62,"3,47","4,15","1,94",Linköping HC,Skellefteå AIK,1,"3,47"
Luleå - Örebro,2 - 2,2020-03-07,2 , 2,68,16,16,"1,79","4,30","3,95",Luleå HF,Örebro HK,X,"4,30"
Oskarsh. - Rögle,1 - 2,2020-03-07,1 , 2,15,17,68,"4,80","4,85","1,58",IK Oskarshamn,Rögle BK,2,"1,58"
Färjestad - Djurgård.,4 - 1,2020-03-07,4 , 1,49,23,28,"2,09","4,30","3,00",Färjestad BK,Djurgårdens IF,1,"2,09"
Pittsb. - Washingt.,2 - 5,2020-03-07,2 , 5,43,25,32,"2,21","4,25","2,75",Pittsb. , Washingt.,2,"2,75"
Pittsb. - Carolina,2 - 6,2020-03-08,2 , 6,53,22,25,"1,94","4,45","3,20",Pittsb. , Carolina,2,"3,20"
Detroit - Tampa Bay,4 - 4,2020-03-08,4 , 4,17,19,64,"4,55","4,60","1,63",Detroit , Tampa Bay,X,"4,60"
San Jose - Colorado,3 - 4,2020-03-08,3 , 4,33,25,42,"3,25","4,20","1,98",San Jose , Colorado,2,"1,98"
Vancouver - Columbus,1 - 2,2020-03-08,1 , 2,46,24,30,"1,97","4,25","3,25",Vancouver , Columbus,2,"3,25"
Vienna - EC Graz,3 - 2,2020-03-08,3 , 2,60,21,19,"1,49","5,60","4,15",Vienna , EC Graz,1,"1,49"
EC KAC - EHC Linz,2 - 3,2020-03-08,2 , 3,41,24,35,"1,90","4,10","3,13",EC KAC , EHC Linz,2,"3,13"
Salzburg - Villacher,4 - 0,2020-03-08,4 , 0,60,20,20,"1,54","5,10","4,05",Salzburg , Villacher,1,"1,54"
Bolzano - Znojmo,4 - 3,2020-03-08,4 , 3,67,16,17,,,,Bolzano , Znojmo,1,
Buffalo - Washingt.,2 - 2,2020-03-09,2 , 2,23,18,59,"3,32","4,45","1,90",Buffalo , Washingt.,X,"4,45"
St.Louis - Florida,1 - 2,2020-03-09,1 , 2,61,18,21,"1,93","4,25","3,35",St.Louis , Florida,2,"3,35"
Winnipeg - Arizona,4 - 2,2020-03-09,4 , 2,52,22,26,"2,15","4,10","2,92",Winnipeg , Arizona,1,"2,15"
Edmonton - Vegas,2 - 2,2020-03-09,2 , 2,41,25,34,"2,27","4,20","2,68",Edmonton , Vegas,X,"4,20"
Los Angel - Colorado,3 - 1,2020-03-09,3 , 1,30,23,47,"3,00","4,20","2,09",Los Angel , Colorado,1,"3,00"
Kärpät - Lukko,1 - 5,2020-03-09,1 , 5,59,19,22,"2,02","4,05","3,15",Kärpät , Lukko,2,"3,15"
JYP - Tappara,3 - 3,2020-03-09,3 , 3,28,23,49,"3,60","4,25","1,85",JYP , Tappara,X,"4,25"
KooKoo - HIFK,5 - 2,2020-03-09,5 , 2,41,25,34,"2,34","4,00","2,65",KooKoo ,Luleå HF,1,"2,34"
HV71 - Luleå,2 - 1,2020-03-10,2 , 1,47,23,30,"1,90","4,20","3,55",HV 71,Luleå HF,1,"1,90"
Skelleft. - Växjö Lak,2 - 2,2020-03-10,2 , 2,68,17,15,"1,66","4,55","4,45",Skellefteå AIK,Växjö Lakers HC,X,"4,55"
Färjestad - Linköping,2 - 4,2020-03-10,2 , 4,71,16,13,"1,53","5,00","5,25",Färjestad BK,Linköping HC,2,"5,25"
Malmö - Frölunda,0 - 3,2020-03-10,0 , 3,35,25,40,"2,42","4,20","2,55",IF Malmö Redhawks,Frölunda HC,2,"2,55"
Oskarsh. - Brynäs,5 - 4,2020-03-10,5 , 4,40,24,36,"2,31","4,30","2,62",IK Oskarshamn,Brynäs IF,1,"2,31"
Örebro - Leksand,4 - 0,2020-03-10,4 , 0,64,19,17,"1,43","5,70","5,75",Örebro HK,Leksands IF,1,"1,43"
Djurgård. - Rögle,3 - 2,2020-03-10,3 , 2,43,25,32,"2,17","4,15","2,90",Djurgårdens IF,Rögle BK,1,"2,17"
Björklöv. - MODO,3 - 3,2020-03-10,3 , 3,49,25,26,"1,91","4,30","3,48",IF Björklöven,MODO Hockey,X,"4,30"
Timrå - BIK Karls,8 - 3,2020-03-11,8 , 3,67,15,18,"1,79","4,45","3,75",Timrå IK,BIK Karlskoga,1,"1,79"
Södertäl. - Västervik,8 - 6,2020-03-11,8 , 6,64,17,19,"1,76","4,25","4,05",Södertälje SK,Västerviks IK,1,"1,76"
Västerås - Vita Häst,5 - 2,2020-03-11,5 , 2,48,20,32,"1,87","4,15","3,65",Västerås IK,HC Vita Hästen,1,"1,87"
Luleå Dam - HV71 Dam,2 - 3,2020-03-11,2 , 3,36,19,45,"2,42","5,00","2,11",Luleå HF,HV 71,2,"2,11"
Edmonton - Winnipeg,2 - 4,2020-03-11,2 , 4,47,22,31,"2,14","4,20","2,87",Edmonton , Winnipeg,2,"2,87"
Colorado - NY Ranger,2 - 2,2020-03-11,2 , 2,46,21,33,"1,97","4,15","3,32",Colorado , NY Ranger,X,"4,15"
Frölunda - Djurgård.,2 - 2,2020-03-12,2 , 2,56,21,23,"1,90","4,25","3,50",Frölunda HC,Djurgårdens IF,X,"4,25"
Luleå - Skelleft.,3 - 0,2020-03-12,3 , 0,43,24,33,"1,89","4,20","3,65",Luleå HF,Skellefteå AIK,1,"1,89"
Brynäs - Örebro,1 - 6,2020-03-12,1 , 6,27,18,55,"3,65","4,30","1,86",Brynäs IF,Örebro HK,2,"1,86"
Linköping - Oskarsh.,3 - 1,2020-03-12,3 , 1,61,18,21,"1,83","4,45","3,65",Linköping HC,IK Oskarshamn,1,"1,83"
Leksand - HV71,5 - 2,2020-03-12,5 , 2,16,15,69,"4,20","4,65","1,69",Leksands IF,HV 71,1,"4,20"
Rögle - Malmö,5 - 2,2020-03-12,5 , 2,64,19,17,"1,64","4,50","4,60",Rögle BK,IF Malmö Redhawks,1,"1,64"
Växjö Lak - Färjestad,4 - 7,2020-03-12,4 , 7,34,24,42,"2,65","4,25","2,31",Växjö Lakers HC,Färjestad BK,2,"2,31"
MODO - Björklöv.,0 - 3,2020-03-12,0 , 3,38,27,35,"2,52","4,35","2,38",MODO Hockey,IF Björklöven,2,"2,38"
